"John_KJV" "Luke_KJV" "Mark_KJV" "Matthew_KJV"
"word" 0.115219440661988 0.0771039747098963 0.085718053540815 0.0802229353149806
"city" 0.0418979784225411 0.138787154477813 0.0461558749835158 0.0928897145752407
"why" 0.073321462239447 0.0732487759744015 0.131873928524331 0.0802229353149806
"own" 0.130931182570441 0.0848143721808859 0.0527495714097323 0.0675561560547205
"children" 0.0314234838169058 0.0886695709163807 0.0659369642621654 0.130890052356021
"gave" 0.0785587095422646 0.0693935772389067 0.112092839245681 0.0844451950684006
"jerusalem" 0.0680842149366293 0.127221558271329 0.0725306606883819 0.0548893767944604
"same" 0.104744946056353 0.0848143721808859 0.0527495714097323 0.0844451950684006
"certain" 0.0261862365140882 0.165773545626277 0.0725306606883819 0.0422225975342003
"dead" 0.10998219335917 0.0732487759744015 0.085718053540815 0.0675561560547205
"given" 0.146642924478894 0.0462623848259378 0.0791243571145984 0.0717784158081405
"shalt" 0.0418979784225411 0.100235167122865 0.0395621785572992 0.122445532849181
"master" 0.0523724730281764 0.0963799683873704 0.112092839245681 0.0675561560547205
"chief" 0.057609720330994 0.0771039747098963 0.105499142819465 0.0844451950684006
"spirit" 0.0942704514507175 0.0809591734453911 0.112092839245681 0.0422225975342003
"tell" 0.0628469676338117 0.0925247696518756 0.0791243571145984 0.0760006755615606
"multitude" 0.0209489892112706 0.0693935772389067 0.112092839245681 0.109778753588921
"some" 0.073321462239447 0.0539727822969274 0.118686535671898 0.0802229353149806
"temple" 0.073321462239447 0.0732487759744015 0.0791243571145984 0.0844451950684006
"brought" 0.0418979784225411 0.0771039747098963 0.085718053540815 0.0971119743286607
"hour" 0.10998219335917 0.0501175835614326 0.0593432678359488 0.0886674548218206
"bread" 0.104744946056353 0.0539727822969274 0.0923117499670315 0.0591116365478804
"make" 0.0418979784225411 0.0925247696518756 0.0725306606883819 0.0802229353149806
"priests" 0.057609720330994 0.061683179767917 0.0989054463932481 0.0844451950684006
"while" 0.0890332041478999 0.0732487759744015 0.0593432678359488 0.0717784158081405
"began" 0.0157117419084529 0.0848143721808859 0.17143610708163 0.0422225975342003
"galilee" 0.0890332041478999 0.0578279810324222 0.0791243571145984 0.0717784158081405
"place" 0.0995076987535351 0.061683179767917 0.085718053540815 0.0548893767944604
"whole" 0.0471352257253587 0.0693935772389067 0.0989054463932481 0.0802229353149806
"christ" 0.10998219335917 0.0539727822969274 0.0527495714097323 0.0717784158081405
"sat" 0.0471352257253587 0.061683179767917 0.125280232098114 0.0675561560547205
"nothing" 0.0995076987535351 0.0539727822969274 0.0989054463932481 0.0464448572876203
"over" 0.0261862365140882 0.100235167122865 0.085718053540815 0.0633338963013005
"scribes" 0.00523724730281764 0.0578279810324222 0.138467624950547 0.0928897145752407
"servant" 0.0366607311197235 0.0963799683873704 0.0329684821310827 0.0928897145752407
"woman" 0.120456687964806 0.0732487759744015 0.0461558749835158 0.0422225975342003
"receive" 0.073321462239447 0.0693935772389067 0.0791243571145984 0.0591116365478804
"together" 0.0366607311197235 0.0809591734453911 0.0923117499670315 0.0675561560547205
